DR_NO,DATE_OCC,AREA_NAME,CRM_CD_DESC,VICT_AGE,VICT_SEX,VICT_DESCENT,PREMIS_DESC,WEAPON_DESC,STATUS_DESC,LOCATION,American Indian and Alaska Native (Proportion),Asian (Proportion),African American (Proportion),Native Hawaiian and Other Pacific Islander (Proportion),White (Proportion),Hispanic or Latino (Proportion),Year,Month
250504206,2025-02-28,Harbor,VEHICLE - STOLEN,X,X,X,PARKING LOT,Unknown / None Used,Invest Cont,600    TERMINAL                     WY,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504204,2025-02-26,Harbor,OTHER MISCELLANEOUS CRIME,X,X,X,POLICE FACILITY,Unknown / None Used,Invest Cont,2100    JOHN S GIBSON                BL,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504185,2025-02-21,Harbor,BATTERY - SIMPLE ASSAULT,15,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1500    LAKME                        AV,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504179,2025-02-20,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,X,X,STREET,Unknown / None Used,Invest Cont,300    TERMINAL                     WY,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504182,2025-02-20,Harbor,VEHICLE - STOLEN,X,X,X,OTHER PREMISE,Unknown / None Used,Invest Cont,2200    MINER                        ST,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504153,2025-02-11,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,X,X,STREET,Unknown / None Used,Invest Cont,600 W  HARRY BRIDGE                 BL,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504139,2025-02-10,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,X,X,STREET,Unknown / None Used,Invest Cont,2000    JOHN S GIBSON                BL,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504132,2025-02-06,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,M,W,JUNIOR HIGH SCHOOL,VERBAL THREAT,Invest Cont,1500 S  CABRILLO                     AV,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504106,2025-01-31,Harbor,BATTERY WITH SEXUAL CONTACT,15,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17TH,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504122,2025-01-31,Harbor,BATTERY - SIMPLE ASSAULT,13,F,H,PARK/PLAYGROUND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3700    STEPHEN M WHITE              DR,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504205,2025-02-28,Harbor,VEHICLE - STOLEN,X,X,X,PARKING LOT,Unknown / None Used,Invest Cont,300 E  HARRY BRIDGE                 BL,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,2
250504098,2025-01-30,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,X,X,SLIPS/DOCK/MARINA/BOAT,Unknown / None Used,Invest Cont,600 W  HARRY BRIDGES                BL,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504071,2025-01-21,Harbor,VEHICLE - STOLEN,X,X,X,STREET,Unknown / None Used,Invest Cont,PACIFIC                      AV,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504054,2025-01-16,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",X,M,O,STREET,Unknown / None Used,Invest Cont,1700 E  PACIFIC COAST                HY,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504051,2025-01-14,Harbor,ROBBERY,15,F,H,HIGH SCHOOL,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,24300    WESTERN                      AV,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
250504024,2025-01-06,Harbor,BURGLARY,46,M,B,OTHER BUSINESS,Unknown / None Used,Invest Cont,2400 S  SIGNAL                       ST,0.6631142687981054,0.002152968405188654,0.12974325851768126,0.0642122826847516,0.003713870498950428,0.13706335109532267,2025,1
